id,source_number,destination_number,duration,call_status,call_outcome,assigned_user_id,created_at,deleted_at
531bd3fd-90a7-4d65-b7f5-434f87ae2e02,1031858783,+913099584095,468,Busy,Not Interested,a5499ef3-1ed0-4e7d-b2d8-5e51f825a648,2026-03-18 05:31:52,
9e0e991b-c8a1-47a0-a371-6c92f4862bc6,+911310416115,00433741699,518,Connected,Follow-up,560f2adc-162e-473b-8cd1-0546376e74e9,2026-03-23 13:37:50,
11ae8d70-2f5d-4ad2-83f1-959a56a3bc5d,+914879213547,+910047964595,601,Missed,Not Interested,e441befa-88af-4f32-a4b7-caa2f90837a6,2026-03-22 07:20:30,
5ea8bf3b-ecfd-4396-acdc-d1cf3bd1834f,+918750198867,+916859610803,991,Connected,Follow-up,566164f0-b746-41f4-b85a-4806de2c294b,2026-04-20 12:58:43,
ba27bcb5-dccf-4c6e-9bf3-f09518ef7b4d,9099670094,03861246199,900,Missed,Not Interested,5adbfff5-e09e-439c-ac07-42c4619ce4f5,2026-03-07 13:44:17,
0812f07b-c76b-4eb7-a4d1-3148fa182b09,02929920377,0854320676,450,Busy,Not Interested,e441befa-88af-4f32-a4b7-caa2f90837a6,2026-04-26 16:34:58,
be81ffd5-977e-4d6b-9d1b-a89d3ee2c998,07535620888,4427912353,198,Missed,Interested,404d7654-52ae-4333-91d7-753b4d63789e,2026-03-05 03:09:35,
8123a0e9-e0de-485e-902d-26758c4c9fdd,+916514621461,2842808194,868,Busy,Not Interested,566164f0-b746-41f4-b85a-4806de2c294b,2026-01-28 21:21:16,
73793826-8426-4953-adcf-71b65b02e701,+910845863582,0356075047,622,Connected,Interested,a479e5cf-9f94-4433-ad29-445f2f57265f,2026-04-23 15:49:23,
cea3a62d-c956-4a50-86b7-15ca715cab4a,+916832641859,7967823127,194,Busy,Not Interested,5adbfff5-e09e-439c-ac07-42c4619ce4f5,2026-02-02 04:58:42,
4f303689-ed50-4dbd-bd1f-a481e2f0d19f,04564337030,+914334740152,793,Busy,Interested,42050019-05f0-4de7-b45b-cea5eda7386f,2026-01-22 16:55:35,
8f547337-c863-415e-81ce-ab34a4632306,7904432994,4059198933,298,Busy,Follow-up,e43d49a0-a034-48f7-8094-69c8ec022f41,2026-05-15 08:24:34,
e417caa3-88d8-4d6d-b90d-41c6d0c7e590,00301090702,4307281661,997,Busy,Follow-up,42050019-05f0-4de7-b45b-cea5eda7386f,2026-04-01 15:39:08,
f072ec91-7e74-40b5-8f82-f64a0a4fc3a2,02959847776,09981859890,1188,Busy,Not Interested,404d7654-52ae-4333-91d7-753b4d63789e,2026-03-15 15:42:30,
6b959d08-4b31-42d4-9237-b3d5b72d624b,+917657683557,06322955154,980,Connected,Interested,b6493aae-776e-4baa-a4f2-3d0a8ebbd3a3,2026-03-04 08:37:04,
7faec41a-4b80-4fde-bb4d-5d286c71ee75,+912083970296,3592789757,379,Connected,Interested,3c2514fb-429d-444a-bc6c-7c4a2ce757be,2026-02-02 10:08:16,
0e98c19c-fa32-4e42-a947-656f0a2dfce3,2082670495,4081539031,356,Busy,Follow-up,a5499ef3-1ed0-4e7d-b2d8-5e51f825a648,2026-05-11 04:20:05,
9e8a98d2-d23d-40b0-8581-69cc9e72f873,08210570461,+912767430478,434,Missed,Follow-up,e441befa-88af-4f32-a4b7-caa2f90837a6,2026-03-25 20:10:46,
cd677f54-481e-43a7-a67a-fdc31d8786bc,+918796341019,2348779031,859,Busy,Follow-up,7a1b7ad6-e2d2-4e32-9902-ba4caebc581d,2026-02-04 10:43:31,
a92a38e2-7f9c-4442-8b39-781d9a0b89cf,+915469648865,+914103865460,469,Busy,Interested,0ef691cb-a3b6-4c00-93f4-b28b0fe40706,2026-01-02 21:34:38,
67d108b7-0a42-4bf4-8c0c-4537ed7ec02e,7734015217,01487929282,184,Busy,Follow-up,404d7654-52ae-4333-91d7-753b4d63789e,2026-02-11 22:39:32,
afb4d49e-84c5-41dd-a20e-9894905da57d,+917011796700,4601658889,1182,Connected,Follow-up,f9140f89-9c0b-4ce1-8467-c50ef091fb7a,2026-04-08 19:09:26,
21d35f6c-8522-46c0-bef9-02922f2e00d6,02697898645,08244026475,276,Missed,Not Interested,95287636-f2f6-4a35-8af3-a9fe68a5d1c0,2026-03-07 14:11:55,
d940967f-293d-4b91-b4e0-214a262fa3de,5290659612,6512359204,89,Busy,Interested,616ac0bf-be55-4a3c-aa34-f023ca00068f,2026-03-30 00:16:35,
78a105f6-a87c-49a8-8c75-046eca15a9a5,09601857630,07799272278,700,Missed,Interested,08bef480-7ca7-4624-9756-6860f8fe8ba5,2026-05-02 20:23:29,
ad5f7d4b-b99e-40d6-9464-a1df98566da0,+914363557452,01776122388,952,Connected,Follow-up,e75d85fc-9d80-421a-aa90-2624363de215,2026-01-31 18:27:53,
8bd0ecf5-900b-4043-b7c4-56ab8d4583a5,+913449597648,9226417607,1195,Connected,Not Interested,566164f0-b746-41f4-b85a-4806de2c294b,2026-03-01 18:34:03,
63d31b47-4c22-4bd6-abcb-0dc37711ef64,8921285695,+917566959048,492,Connected,Interested,a479e5cf-9f94-4433-ad29-445f2f57265f,2026-04-17 09:43:49,
afa21732-21d2-410d-af8a-6ffa55cc205f,4154846536,9268501394,842,Connected,Interested,fca4d392-94e8-47e1-bdb4-3dca1cb88b3a,2026-02-13 15:38:14,
262ef935-ce71-4e4a-86ce-d5502cb94cf3,03786126601,+910019773216,1015,Connected,Interested,f9140f89-9c0b-4ce1-8467-c50ef091fb7a,2026-01-02 11:01:26,
d7f3b96c-f612-4f9c-9ebb-09aebeeb1c2a,9140184691,0529794715,751,Connected,Not Interested,a5499ef3-1ed0-4e7d-b2d8-5e51f825a648,2026-04-13 16:47:12,
090b6da3-ff64-49af-b3db-47d36cdd9bd3,0275418439,06336610683,1133,Connected,Follow-up,f8ad7ff5-bd31-4f9e-934f-a32327b5c155,2026-01-24 15:15:07,
2a4c4e16-b89c-4819-8efa-c027d53ce684,01453517244,07393164157,155,Busy,Interested,42050019-05f0-4de7-b45b-cea5eda7386f,2026-02-04 21:05:34,
